Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Stair Climbing","2019-02-18 14:11","2019-02-18 14:29","0:17:54",,"114.30779230382332","123.1490922428021",,,,"161.22000000000008","201.92400000000012",,,"3.3333333333333712","55"
"Indoor Cycling","2019-02-17 15:32","2019-02-17 16:02","0:30:06",,"89.95642655957953","91.34998271795088",,,,"158.6229999999999","257.22299999999996",,,"7.222222222222285","54"
"Other","2019-02-17 14:39","2019-02-17 15:20","0:40:38",,"105.21658175586819","109.5108237547893",,,,"240.9940000000001","330.8040000000002",,,"7.222222222222285","54"
"Outdoor Walking","2019-02-16 14:45","2019-02-16 15:45","1:00:20","4.442730513647606","79.4779088501504","81.47453500523385","0:13:35","4.417107225530392","206.89117165689387","318.5999999999999","471.79800000000006","47.730000000000004",,"6.111111111111143","72"
"Stair Climbing","2019-02-15 14:19","2019-02-15 14:54","0:35:28",,"116.75052700988024","129.9339386503067",,,,"347.6339999999999","457.251",,,"6.111111111111143","75"
"Stair Climbing","2019-02-15 13:53","2019-02-15 14:10","0:17:29",,"119.2379165228092","126.28837308010966",,,,"172.00399999999993","211.84399999999997",,,"6.111111111111143","73"
"Other","2019-02-15 13:12","2019-02-15 13:19","0:07:07",,"108.28413796607586","108.28413796607586",,,,"39.00700000000003","87.37200000000004",,,"5.5555555555556","76"
"Indoor Cycling","2019-02-13 16:19","2019-02-13 16:49","0:30:20",,"99.40566099771807","100.49208860759494",,,,"198.103","297.0330000000001",,,"2.2222222222222854","48"
"Rowing","2019-02-13 15:53","2019-02-13 16:08","0:14:40",,"113.64523011053053","113.64523011053053",,,,"104.33299999999997","137.74099999999999",,,"2.7777777777778283","48"
"Indoor Cycling","2019-02-13 14:51","2019-02-13 15:00","0:08:46",,"98.39461001725185","98.39461001725185",,,,"56.17800000000001","104.75900000000001",,,"3.3333333333333712","44"
"Indoor Walking","2019-02-12 15:32","2019-02-12 15:51","0:19:51","1.7731068857183563","94.32174625439225","95.32765741115148","0:11:11","5.357462953611519","112.60166416327903","135.21200000000002","207.79700000000003",,,"-0.5555555555555429","87"
"Stair Climbing","2019-02-12 14:57","2019-02-12 15:27","0:30:16",,"119.48945952564327","127.93179849884528",,,,"289.16400000000044","357.8040000000005",,,"-1.1111111111110858","91"
"Stair Climbing","2019-02-12 14:22","2019-02-12 14:38","0:15:38",,"118.78593062164907","122.92696025778727",,,,"145.08700000000027","211.58300000000025",,,"-1.1111111111110858","91"
"Indoor Cycling","2019-02-12 14:08","2019-02-12 14:16","0:08:04",,"108.05127130483376","108.05127130483376",,,,"62.395999999999944","80.92399999999995",,,"-0.5555555555555429","90"
"Indoor Walking","2019-02-11 17:24","2019-02-11 17:36","0:11:17","0.8219783773506643","96.11395710154937","96.11395710154937","0:13:44","4.366279007541018","95.23781291582037","68.54200000000002","95.13500000000003",,,"-3.3333333333333144","84"
"Indoor Running","2019-02-11 17:02","2019-02-11 17:24","0:21:52","3.3878078124182482","119.79265328946524","124.37692307692306","0:06:27","9.292069578380438","143.44246026573023","314.0229999999999","363.74999999999994",,,"-3.3333333333333144","84"
"Stair Climbing","2019-02-11 16:38","2019-02-11 16:56","0:17:21",,"114.50593360146266","117.32497579864473",,,,"153.26500000000019","192.8170000000002",,,"-3.3333333333333144","79"
